datetime,us_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,temperature_2m,relative_humidity_2m,wind_speed_10m,hour_sin,wind_u,wind_v,pm2_5_rolling_mean_36h,carbon_monoxide_rolling_mean_36h,pm10_rolling_mean_36h,pm2_5_rolling_std_72h,pm10_rolling_std_72h,aqi_change_rate,pm_ratio,is_rush_hour,precip_likelihood
2025-05-24 00:00:00,64,17.6,48.3,179.0,14.1,8.6,46.0,0.0,28.9,83,14.7,0.0,14.556940610501082,2.0458445841129675,,,,,,,0.3643892339544514,0,2573
2025-05-24 01:00:00,64,17.2,48.3,158.0,10.9,7.8,50.0,0.0,28.7,83,14.0,0.25881904510252074,13.694066410273278,2.910763671448637,,,,,,0.0,0.35610766045548653,0,4731
2025-05-24 02:00:00,64,16.7,46.7,143.0,8.4,7.3,53.0,0.0,28.6,83,15.0,0.49999999999999994,14.917828430524102,1.5679269490148005,,,,,,0.0,0.3576017130620985,0,2573
2025-05-24 03:00:00,64,16.5,45.5,134.0,7.1,7.0,54.0,0.0,28.5,83,14.8,0.7071067811865476,14.79774588831459,-0.25829561527179035,,,,,,0.0,0.3626373626373626,0,6391
2025-05-24 04:00:00,63,16.4,44.5,130.0,6.5,7.1,55.0,0.0,28.6,79,14.7,0.8660254037844386,14.619471861913619,-1.5365684100344987,,,,,,-1.0,0.3685393258426966,0,7268
2025-05-24 05:00:00,63,15.9,41.4,140.0,5.9,7.2,57.0,0.0,28.8,78,15.0,0.9659258262890683,14.917828430524102,-1.5679269490147947,,,,,,0.0,0.3840579710144928,0,4212
2025-05-24 06:00:00,63,16.6,43.3,177.0,6.6,8.3,58.0,0.05,28.7,81,13.7,1.0,13.681224626137661,0.717002600528337,,,,,,0.0,0.38337182448036955,0,3078
2025-05-24 07:00:00,63,19.0,51.9,228.0,7.4,9.9,60.0,0.55,29.2,76,14.8,0.9659258262890683,14.718924051450447,1.5470212563612697,,,,,,0.0,0.36608863198458574,1,1976
2025-05-24 08:00:00,64,19.9,55.3,259.0,7.7,11.4,65.0,1.9,30.1,71,16.2,0.8660254037844387,16.2,2.975891721928068e-15,,,,,,1.0,0.35985533453887886,1,1491
2025-05-24 09:00:00,64,21.1,57.0,250.0,6.8,12.9,76.0,4.2,31.1,65,16.0,0.7071067811865476,15.99756312250226,-0.2792385029965301,,,,,,0.0,0.37017543859649127,1,2015
2025-05-24 10:00:00,64,22.8,59.4,221.0,5.3,14.5,90.0,6.5,32.2,61,15.5,0.49999999999999994,15.441017820422056,1.350914012588703,,,,,,0.0,0.38383838383838387,0,1586
2025-05-24 11:00:00,64,23.9,62.9,199.0,4.2,15.4,100.0,6.5,32.9,58,16.2,0.258819045102521,16.00055111764123,2.5342383336517424,,,,,,0.0,0.37996820349761523,0,1450
2025-05-24 12:00:00,65,24.3,63.3,195.0,3.7,15.4,104.0,6.5,33.2,58,16.4,1.2246467991473532e-16,15.84118355114072,4.244632339681338,,,,,,1.0,0.38388625592417064,0,2320
2025-05-24 13:00:00,65,24.3,63.1,199.0,3.5,14.8,104.0,6.5,33.1,60,17.1,-0.2588190451025208,15.621627325688477,6.955196596596182,,,,,,0.0,0.38510301109350237,0,420
2025-05-24 14:00:00,65,24.0,62.4,208.0,3.7,14.1,101.0,6.5,32.9,60,17.9,-0.4999999999999997,16.088413428755086,7.8468435275244905,,,,,,0.0,0.38461538461538464,0,120
2025-05-24 15:00:00,66,23.5,61.2,225.0,4.2,13.5,94.0,5.95,32.7,62,18.3,-0.7071067811865471,16.447931047274754,8.022191986240124,,,,,,1.0,0.38398692810457513,0,62
2025-05-24 16:00:00,66,22.8,59.8,248.0,5.1,12.8,84.0,3.3,32.3,64,17.3,-0.8660254037844385,16.15094137840159,6.199765527133702,,,,,,0.0,0.38127090301003347,0,0
2025-05-24 17:00:00,66,25.3,73.8,263.0,6.9,12.8,75.0,1.35,31.9,66,15.3,-0.9659258262890683,14.778665142222746,3.959931390068566,,,,,,0.0,0.3428184281842819,1,132
2025-05-24 18:00:00,67,25.4,71.5,264.0,9.9,13.2,66.0,0.3,31.8,69,12.5,-1.0,11.746157759823856,4.275251791570857,,,,,,1.0,0.35524475524475524,1,69
2025-05-24 19:00:00,68,25.4,68.7,258.0,14.1,13.7,55.0,0.0,30.3,78,13.4,-0.9659258262890684,12.814483729904675,3.9177808432846772,,,,,,1.0,0.36972343522561857,1,780
2025-05-24 20:00:00,68,25.5,64.0,250.0,17.0,13.7,46.0,0.0,29.9,80,14.1,-0.8660254037844386,12.210958193360582,7.050000000000006,,,,,,0.0,0.3984375,0,800
2025-05-24 21:00:00,69,25.7,60.8,242.0,17.7,13.0,43.0,0.0,29.6,82,15.1,-0.7071067811865477,13.571790099117418,6.619404316515074,,,,,,1.0,0.42269736842105265,0,1476
2025-05-24 22:00:00,69,25.7,60.5,232.0,17.1,11.9,44.0,0.0,29.6,82,17.2,-0.5000000000000004,17.13454880717802,1.4990787752597219,,,,,,0.0,0.42479338842975206,0,3280
2025-05-24 23:00:00,70,25.8,60.3,217.0,15.9,10.7,45.0,0.0,29.6,82,15.5,-0.25881904510252157,15.441017820422056,-1.3509140125886974,,,,,,1.0,0.427860696517413,0,2870
2025-05-25 00:00:00,71,25.6,59.8,193.0,13.8,9.5,47.0,0.0,29.5,82,14.6,0.0,14.591106074478798,-0.5095326518565187,,,,,,1.0,0.4280936454849499,0,3772
2025-05-25 01:00:00,71,24.5,57.4,165.0,10.9,8.2,50.0,0.0,29.2,85,13.1,0.25881904510252074,13.092019833950154,-0.45718340680276676,,,,,,0.0,0.4268292682926829,0,1955
2025-05-25 02:00:00,72,24.0,56.3,145.0,8.7,7.3,52.0,0.0,28.9,87,11.7,0.49999999999999994,11.655477967673422,1.0197221901476015,,,,,,1.0,0.4262877442273535,0,2958
2025-05-25 03:00:00,73,23.6,56.0,136.0,7.6,6.9,53.0,0.0,28.8,87,12.2,0.7071067811865476,11.66691802274903,3.5669347976173924,,,,,,1.0,0.42142857142857143,0,2262
2025-05-25 04:00:00,73,23.6,56.7,135.0,7.1,6.9,53.0,0.0,28.9,86,12.0,0.8660254037844386,11.346222907191802,3.9068178534858795,,,,,,0.0,0.41622574955908287,0,1806
2025-05-25 05:00:00,74,24.6,69.2,147.0,5.7,7.2,57.0,0.0,28.8,84,11.8,0.9659258262890683,11.01624903266698,4.228741804634549,,,,,,1.0,0.3554913294797688,0,1512
2025-05-25 06:00:00,75,24.7,65.4,185.0,6.4,8.3,58.0,0.05,29.1,87,13.2,1.0,12.7502209070157,3.416411395353272,,,,,,1.0,0.37767584097859325,0,2784
2025-05-25 07:00:00,75,25.3,67.8,237.0,7.4,9.9,60.0,0.5,29.6,83,15.8,0.9659258262890683,15.64623548611681,2.19893499516904,,,,,,0.0,0.3731563421828909,1,1992
2025-05-25 08:00:00,76,26.3,71.0,269.0,7.8,11.4,65.0,1.75,30.6,76,16.0,0.8660254037844387,15.990253232305532,0.5583919472400122,,,,,,1.0,0.3704225352112676,1,1140
2025-05-25 09:00:00,77,27.2,72.9,261.0,7.0,12.9,76.0,3.95,31.8,68,15.7,0.7071067811865476,15.678483695646808,-0.8216745130142199,,,,,,1.0,0.373113854595336,1,612
2025-05-25 10:00:00,77,28.1,74.0,233.0,5.5,14.4,90.0,6.5,33.0,62,14.6,0.49999999999999994,14.564435133793435,-1.0184445166642282,,,,,,0.0,0.37972972972972974,0,186
2025-05-25 11:00:00,78,28.5,72.6,212.0,4.4,15.3,100.0,6.5,33.8,59,15.3,0.258819045102521,15.111631611105606,2.393447315115535,,,,,,1.0,0.3925619834710744,0,0
2025-05-25 12:00:00,78,28.1,70.3,207.0,3.8,15.1,103.0,6.5,33.9,60,16.6,1.2246467991473532e-16,15.69560835494866,5.404431363988801,22.980555555555554,203.80555555555554,59.80555555555556,,,0.0,0.3997155049786629,0,0
2025-05-25 13:00:00,78,27.4,68.7,209.0,3.5,14.3,102.0,6.5,33.9,60,16.9,-0.2588190451025208,15.88080529128185,5.7801404222037975,23.272222222222222,204.58333333333334,60.416666666666664,,,0.0,0.39883551673944684,0,540
2025-05-25 14:00:00,79,26.7,66.4,216.0,3.6,13.5,98.0,6.5,33.8,60,17.4,-0.4999999999999997,16.350651601674805,5.951150493866632,23.555555555555557,206.0,60.983333333333334,,,1.0,0.4021084337349397,0,180
2025-05-25 15:00:00,79,26.0,65.4,230.0,4.3,13.1,91.0,5.65,33.3,62,17.7,-0.7071067811865471,16.63255938791058,6.053756536864333,23.833333333333332,208.02777777777777,61.53055555555555,,,0.0,0.39755351681957185,0,62
2025-05-25 16:00:00,79,25.5,64.0,249.0,5.5,12.7,81.0,3.1,32.8,65,17.5,-0.8660254037844385,16.735333229353117,5.116504832647899,24.09722222222222,210.69444444444446,62.083333333333336,,,0.0,0.3984375,0,0
2025-05-25 17:00:00,79,32.6,85.9,261.0,7.4,13.6,75.0,1.3,32.2,68,17.1,-0.9659258262890683,16.726323972548077,3.555289912983693,24.35,214.0,62.625,,,0.0,0.37951105937136204,1,136
2025-05-25 18:00:00,80,32.1,83.1,260.0,9.9,13.4,66.0,0.3,31.3,72,16.7,-1.0,15.882643822129063,5.1605838060616245,24.81388888888889,217.36111111111111,63.861111111111114,,,1.0,0.3862815884476535,1,72
2025-05-25 19:00:00,81,32.1,79.2,252.0,13.4,13.2,55.0,0.0,30.2,78,13.8,-0.9659258262890684,13.697136892650246,1.681796938991031,25.244444444444447,219.66666666666666,64.96666666666667,,,1.0,0.40530303030303033,1,78
